fundingTime,funding_interval_hours,fundingRate,timestamp
1722700800001,8,4.82e-05,2024-08-03 16:00:00.001
1722729600000,8,4.181e-05,2024-08-04 00:00:00.000
1722758400000,8,1.635e-05,2024-08-04 08:00:00.000
1722787200000,8,6.815e-05,2024-08-04 16:00:00.000
1722816000000,8,-1.7e-05,2024-08-05 00:00:00.000
1722844800000,8,-4.58e-06,2024-08-05 08:00:00.000
1722873600000,8,-5.766e-05,2024-08-05 16:00:00.000
1722902400000,8,-2.276e-05,2024-08-06 00:00:00.000
1722931200000,8,-0.00010667,2024-08-06 08:00:00.000
1722960000000,8,-1.11e-05,2024-08-06 16:00:00.000
1722988800000,8,-4.25e-05,2024-08-07 00:00:00.000
1723017600001,8,-6.16e-06,2024-08-07 08:00:00.001
1723046400000,8,-4.478e-05,2024-08-07 16:00:00.000
1723075200001,8,-4.377e-05,2024-08-08 00:00:00.001
1723104000000,8,-1.083e-05,2024-08-08 08:00:00.000
1723132800000,8,-3.437e-05,2024-08-08 16:00:00.000
1723161600000,8,1.139e-05,2024-08-09 00:00:00.000
1723190400000,8,4.212e-05,2024-08-09 08:00:00.000
1723219200000,8,-2.753e-05,2024-08-09 16:00:00.000
1723248000000,8,-4.249e-05,2024-08-10 00:00:00.000
1723276800000,8,3.504e-05,2024-08-10 08:00:00.000
1723305600000,8,1.614e-05,2024-08-10 16:00:00.000
1723334400000,8,-8.82e-06,2024-08-11 00:00:00.000
1723363200000,8,9.73e-06,2024-08-11 08:00:00.000
1723392000001,8,3.46e-06,2024-08-11 16:00:00.001
1723420800000,8,1.047e-05,2024-08-12 00:00:00.000
1723449600000,8,6.766e-05,2024-08-12 08:00:00.000
1723478400000,8,6.424e-05,2024-08-12 16:00:00.000
1723507200000,8,7.892e-05,2024-08-13 00:00:00.000
1723536000000,8,-6.036e-05,2024-08-13 08:00:00.000
1723564800000,8,-4.532e-05,2024-08-13 16:00:00.000
1723593600000,8,5.55e-06,2024-08-14 00:00:00.000
1723622400000,8,3.166e-05,2024-08-14 08:00:00.000
1723651200000,8,-3.462e-05,2024-08-14 16:00:00.000
1723680000000,8,5.044e-05,2024-08-15 00:00:00.000
1723708800000,8,7.775e-05,2024-08-15 08:00:00.000
1723737600000,8,6.62e-06,2024-08-15 16:00:00.000
1723766400000,8,-1.182e-05,2024-08-16 00:00:00.000
1723795200000,8,2.105e-05,2024-08-16 08:00:00.000
1723824000000,8,3.363e-05,2024-08-16 16:00:00.000
1723852800000,8,2.448e-05,2024-08-17 00:00:00.000
1723881600000,8,-2.485e-05,2024-08-17 08:00:00.000
1723910400000,8,-3.471e-05,2024-08-17 16:00:00.000
1723939200000,8,7.82e-06,2024-08-18 00:00:00.000
1723968000000,8,-4.706e-05,2024-08-18 08:00:00.000
1723996800000,8,-1.42e-06,2024-08-18 16:00:00.000
1724025600000,8,-3.66e-05,2024-08-19 00:00:00.000
1724054400000,8,8.59e-06,2024-08-19 08:00:00.000
1724083200002,8,-1.53e-05,2024-08-19 16:00:00.002
1724112000000,8,9.69e-06,2024-08-20 00:00:00.000
1724140800000,8,1.977e-05,2024-08-20 08:00:00.000
1724169600001,8,-2.726e-05,2024-08-20 16:00:00.001
1724198400001,8,1.33e-05,2024-08-21 00:00:00.001
1724227200000,8,2.306e-05,2024-08-21 08:00:00.000
1724256000001,8,4.139e-05,2024-08-21 16:00:00.001
1724284800000,8,-9.46e-06,2024-08-22 00:00:00.000
1724313600000,8,3.544e-05,2024-08-22 08:00:00.000
1724342400008,8,2.01e-05,2024-08-22 16:00:00.008
1724371200000,8,6.601e-05,2024-08-23 00:00:00.000
1724400000000,8,6.071e-05,2024-08-23 08:00:00.000
1724428800000,8,-1.72e-06,2024-08-23 16:00:00.000
1724457600000,8,-1.504e-05,2024-08-24 00:00:00.000
1724486400005,8,9.7e-06,2024-08-24 08:00:00.005
1724515200000,8,5.81e-06,2024-08-24 16:00:00.000
1724544000000,8,-3.389e-05,2024-08-25 00:00:00.000
1724572800000,8,3.311e-05,2024-08-25 08:00:00.000
1724601600000,8,2.579e-05,2024-08-25 16:00:00.000
1724630400000,8,2.145e-05,2024-08-26 00:00:00.000
1724659200001,8,5.677e-05,2024-08-26 08:00:00.001
1724688000000,8,6.339e-05,2024-08-26 16:00:00.000
1724716800001,8,9.438e-05,2024-08-27 00:00:00.001
1724745600000,8,5.093e-05,2024-08-27 08:00:00.000
1724774400000,8,7.429e-05,2024-08-27 16:00:00.000
1724803200000,8,-6.098e-05,2024-08-28 00:00:00.000
1724832000000,8,-7.62e-06,2024-08-28 08:00:00.000
1724860800001,8,1.459e-05,2024-08-28 16:00:00.001
1724889600000,8,1.16e-05,2024-08-29 00:00:00.000
1724918400001,8,2.12e-06,2024-08-29 08:00:00.001
1724947200000,8,-4.09e-06,2024-08-29 16:00:00.000
1724976000000,8,5.49e-05,2024-08-30 00:00:00.000
1725004800000,8,3.483e-05,2024-08-30 08:00:00.000
1725033600000,8,1.032e-05,2024-08-30 16:00:00.000
1725062400000,8,7.976e-05,2024-08-31 00:00:00.000
1725091200000,8,7.237e-05,2024-08-31 08:00:00.000
1725120000000,8,7.811e-05,2024-08-31 16:00:00.000
1725148800000,8,4.499e-05,2024-09-01 00:00:00.000
1725177600001,8,5.272e-05,2024-09-01 08:00:00.001
1725206400000,8,4.183e-05,2024-09-01 16:00:00.000
1725235200001,8,-2.406e-05,2024-09-02 00:00:00.001
1725264000001,8,3.904e-05,2024-09-02 08:00:00.001
1725292800000,8,7.064e-05,2024-09-02 16:00:00.000
1725321600000,8,5.67e-05,2024-09-03 00:00:00.000
1725350400001,8,4.883e-05,2024-09-03 08:00:00.001
1725379200000,8,5.216e-05,2024-09-03 16:00:00.000
1725408000000,8,8.054e-05,2024-09-04 00:00:00.000
1725436800000,8,-1.109e-05,2024-09-04 08:00:00.000
1725465600000,8,5.833e-05,2024-09-04 16:00:00.000
1725494400000,8,4.539e-05,2024-09-05 00:00:00.000
1725523200000,8,2.41e-05,2024-09-05 08:00:00.000
1725552000005,8,3.166e-05,2024-09-05 16:00:00.005
1725580800000,8,3.662e-05,2024-09-06 00:00:00.000
1725609600001,8,4.871e-05,2024-09-06 08:00:00.001
1725638400000,8,4.007e-05,2024-09-06 16:00:00.000
1725667200000,8,2.41e-06,2024-09-07 00:00:00.000
1725696000000,8,-5.37e-06,2024-09-07 08:00:00.000
1725724800000,8,2.652e-05,2024-09-07 16:00:00.000
1725753600000,8,5.363e-05,2024-09-08 00:00:00.000
1725782400000,8,3.089e-05,2024-09-08 08:00:00.000
1725811200000,8,1.827e-05,2024-09-08 16:00:00.000
1725840000000,8,7.67e-06,2024-09-09 00:00:00.000
1725868800000,8,3.085e-05,2024-09-09 08:00:00.000
1725897600001,8,-1.156e-05,2024-09-09 16:00:00.001
1725926400000,8,1.082e-05,2024-09-10 00:00:00.000
1725955200000,8,-3.453e-05,2024-09-10 08:00:00.000
1725984000000,8,2.28e-06,2024-09-10 16:00:00.000
1726012800000,8,2.484e-05,2024-09-11 00:00:00.000
1726041600000,8,1.804e-05,2024-09-11 08:00:00.000
1726070400000,8,-1.796e-05,2024-09-11 16:00:00.000
1726099200000,8,2.592e-05,2024-09-12 00:00:00.000
1726128000000,8,2.496e-05,2024-09-12 08:00:00.000
1726156800000,8,1.134e-05,2024-09-12 16:00:00.000
1726185600000,8,4.291e-05,2024-09-13 00:00:00.000
1726214400001,8,5.003e-05,2024-09-13 08:00:00.001
1726243200001,8,5.073e-05,2024-09-13 16:00:00.001
1726272000000,8,8.45e-06,2024-09-14 00:00:00.000
1726300800000,8,-4.15e-06,2024-09-14 08:00:00.000
1726329600001,8,1.35e-06,2024-09-14 16:00:00.001
1726358400000,8,-2.67e-06,2024-09-15 00:00:00.000
1726387200000,8,1.355e-05,2024-09-15 08:00:00.000
1726416000000,8,2.131e-05,2024-09-15 16:00:00.000
1726444800000,8,3.228e-05,2024-09-16 00:00:00.000
1726473600001,8,-6.942e-05,2024-09-16 08:00:00.001
1726502400000,8,-1.149e-05,2024-09-16 16:00:00.000
1726531200001,8,7.742e-05,2024-09-17 00:00:00.001
1726560000000,8,2.423e-05,2024-09-17 08:00:00.000
1726588800000,8,5.73e-05,2024-09-17 16:00:00.000
1726617600000,8,4.792e-05,2024-09-18 00:00:00.000
1726646400000,8,3.074e-05,2024-09-18 08:00:00.000
1726675200004,8,2.329e-05,2024-09-18 16:00:00.004
1726704000000,8,7.727e-05,2024-09-19 00:00:00.000
1726732800000,8,8.266e-05,2024-09-19 08:00:00.000
1726761600001,8,2.391e-05,2024-09-19 16:00:00.001
1726790400000,8,0.0001,2024-09-20 00:00:00.000
1726819200001,8,9.734e-05,2024-09-20 08:00:00.001
1726848000000,8,0.0001,2024-09-20 16:00:00.000
1726876800001,8,6.668e-05,2024-09-21 00:00:00.001
1726905600000,8,6.665e-05,2024-09-21 08:00:00.000
1726934400000,8,4.536e-05,2024-09-21 16:00:00.000
1726963200000,8,4.896e-05,2024-09-22 00:00:00.000
1726992000000,8,5.198e-05,2024-09-22 08:00:00.000
1727020800000,8,0.0001,2024-09-22 16:00:00.000
1727049600000,8,2.548e-05,2024-09-23 00:00:00.000
1727078400000,8,6.821e-05,2024-09-23 08:00:00.000
1727107200000,8,6.476e-05,2024-09-23 16:00:00.000
1727136000000,8,3.85e-05,2024-09-24 00:00:00.000
1727164800000,8,4.791e-05,2024-09-24 08:00:00.000
1727193600001,8,4.739e-05,2024-09-24 16:00:00.001
1727222400000,8,2.445e-05,2024-09-25 00:00:00.000
1727251200003,8,5.722e-05,2024-09-25 08:00:00.003
1727280000000,8,3.538e-05,2024-09-25 16:00:00.000
1727308800005,8,7.493e-05,2024-09-26 00:00:00.005
1727337600000,8,8.119e-05,2024-09-26 08:00:00.000
1727366400000,8,0.0001,2024-09-26 16:00:00.000
1727395200000,8,9.625e-05,2024-09-27 00:00:00.000
1727424000000,8,7.694e-05,2024-09-27 08:00:00.000
1727452800000,8,6.276e-05,2024-09-27 16:00:00.000
1727481600000,8,0.0001,2024-09-28 00:00:00.000
1727510400001,8,6.231e-05,2024-09-28 08:00:00.001
1727539200000,8,7.162e-05,2024-09-28 16:00:00.000
1727568000001,8,3.315e-05,2024-09-29 00:00:00.001
1727596800000,8,6.785e-05,2024-09-29 08:00:00.000
1727625600000,8,8.854e-05,2024-09-29 16:00:00.000
1727654400000,8,6.161e-05,2024-09-30 00:00:00.000
1727683200001,8,8.62e-05,2024-09-30 08:00:00.001
1727712000000,8,0.0001,2024-09-30 16:00:00.000
1727740800000,8,0.0001,2024-10-01 00:00:00.000
1727769600000,8,0.0001,2024-10-01 08:00:00.000
1727798400001,8,8.397e-05,2024-10-01 16:00:00.001
1727827200000,8,0.0001,2024-10-02 00:00:00.000
1727856000000,8,6.859e-05,2024-10-02 08:00:00.000
1727884800000,8,0.0001,2024-10-02 16:00:00.000
1727913600000,8,2.418e-05,2024-10-03 00:00:00.000
1727942400000,8,4.124e-05,2024-10-03 08:00:00.000
1727971200000,8,4.621e-05,2024-10-03 16:00:00.000
1728000000000,8,5.138e-05,2024-10-04 00:00:00.000
1728028800000,8,3.739e-05,2024-10-04 08:00:00.000
1728057600001,8,3.9e-05,2024-10-04 16:00:00.001
1728086400000,8,0.0001,2024-10-05 00:00:00.000
1728115200000,8,7.909e-05,2024-10-05 08:00:00.000
1728144000000,8,5.458e-05,2024-10-05 16:00:00.000
1728172800000,8,9.056e-05,2024-10-06 00:00:00.000
1728201600001,8,5.234e-05,2024-10-06 08:00:00.001
1728230400000,8,3.309e-05,2024-10-06 16:00:00.000
1728259200000,8,3.36e-05,2024-10-07 00:00:00.000
1728288000000,8,9.258e-05,2024-10-07 08:00:00.000
1728316800001,8,2.612e-05,2024-10-07 16:00:00.001
1728345600000,8,6.592e-05,2024-10-08 00:00:00.000
1728374400000,8,0.0001,2024-10-08 08:00:00.000
1728403200000,8,8.377e-05,2024-10-08 16:00:00.000
1728432000000,8,0.0001,2024-10-09 00:00:00.000
1728460800000,8,3.64e-05,2024-10-09 08:00:00.000
1728489600000,8,0.0001,2024-10-09 16:00:00.000
1728518400000,8,6.663e-05,2024-10-10 00:00:00.000
1728547200000,8,0.0001,2024-10-10 08:00:00.000
1728576000000,8,0.0001,2024-10-10 16:00:00.000
1728604800000,8,0.0001,2024-10-11 00:00:00.000
1728633600000,8,9.474e-05,2024-10-11 08:00:00.000
1728662400001,8,5.977e-05,2024-10-11 16:00:00.001
1728691200000,8,4.445e-05,2024-10-12 00:00:00.000
1728720000001,8,0.0001,2024-10-12 08:00:00.001
1728748800000,8,7.35e-05,2024-10-12 16:00:00.000
1728777600000,8,7.928e-05,2024-10-13 00:00:00.000
1728806400000,8,3.958e-05,2024-10-13 08:00:00.000
1728835200000,8,1.763e-05,2024-10-13 16:00:00.000
1728864000000,8,6.559e-05,2024-10-14 00:00:00.000
1728892800000,8,0.0001,2024-10-14 08:00:00.000
1728921600000,8,0.0001,2024-10-14 16:00:00.000
1728950400000,8,0.0001,2024-10-15 00:00:00.000
1728979200000,8,0.0001,2024-10-15 08:00:00.000
1729008000000,8,0.0001,2024-10-15 16:00:00.000
1729036800000,8,0.0001,2024-10-16 00:00:00.000
1729065600001,8,0.0001,2024-10-16 08:00:00.001
1729094400000,8,0.0001,2024-10-16 16:00:00.000
1729123200000,8,0.0001,2024-10-17 00:00:00.000
1729152000000,8,0.0001,2024-10-17 08:00:00.000
1729180800001,8,0.0001,2024-10-17 16:00:00.001
1729209600010,8,0.0001,2024-10-18 00:00:00.010
1729238400001,8,0.0001,2024-10-18 08:00:00.001
1729267200000,8,0.0001,2024-10-18 16:00:00.000
1729296000000,8,0.0001,2024-10-19 00:00:00.000
1729324800000,8,0.0001,2024-10-19 08:00:00.000
1729353600000,8,0.0001,2024-10-19 16:00:00.000
1729382400000,8,0.0001,2024-10-20 00:00:00.000
1729411200000,8,0.0001,2024-10-20 08:00:00.000
1729440000000,8,0.0001,2024-10-20 16:00:00.000
1729468800000,8,0.0001,2024-10-21 00:00:00.000
1729497600000,8,0.0001,2024-10-21 08:00:00.000
1729526400000,8,0.0001,2024-10-21 16:00:00.000
1729555200000,8,0.0001,2024-10-22 00:00:00.000
1729584000000,8,0.0001,2024-10-22 08:00:00.000
1729612800000,8,0.0001,2024-10-22 16:00:00.000
1729641600000,8,0.0001,2024-10-23 00:00:00.000
1729670400000,8,0.0001,2024-10-23 08:00:00.000
1729699200000,8,0.0001,2024-10-23 16:00:00.000
1729728000000,8,0.0001,2024-10-24 00:00:00.000
1729756800000,8,0.0001,2024-10-24 08:00:00.000
1729785600000,8,0.0001,2024-10-24 16:00:00.000
1729814400000,8,0.0001,2024-10-25 00:00:00.000
1729843200000,8,0.0001,2024-10-25 08:00:00.000
1729872000000,8,0.0001,2024-10-25 16:00:00.000
1729900800000,8,0.0001,2024-10-26 00:00:00.000
1729929600001,8,0.0001,2024-10-26 08:00:00.001
1729958400000,8,0.0001,2024-10-26 16:00:00.000
1729987200000,8,0.0001,2024-10-27 00:00:00.000
1730016000000,8,0.0001,2024-10-27 08:00:00.000
1730044800000,8,0.0001,2024-10-27 16:00:00.000
1730073600000,8,0.0001,2024-10-28 00:00:00.000
1730102400001,8,0.0001,2024-10-28 08:00:00.001
1730131200000,8,0.0001,2024-10-28 16:00:00.000
1730160000000,8,0.0001,2024-10-29 00:00:00.000
1730188800000,8,0.0001,2024-10-29 08:00:00.000
1730217600004,8,0.0001,2024-10-29 16:00:00.004
1730246400000,8,0.0001,2024-10-30 00:00:00.000
1730275200000,8,0.0001,2024-10-30 08:00:00.000
1730304000013,8,0.0001,2024-10-30 16:00:00.013
1730332800000,8,0.0001,2024-10-31 00:00:00.000
1730361600000,8,0.0001,2024-10-31 08:00:00.000
1730390400000,8,0.0001,2024-10-31 16:00:00.000
1730419200000,8,0.0001,2024-11-01 00:00:00.000
1730448000000,8,0.0001,2024-11-01 08:00:00.000
1730476800000,8,0.0001,2024-11-01 16:00:00.000
1730505600000,8,0.0001,2024-11-02 00:00:00.000
1730534400000,8,0.0001,2024-11-02 08:00:00.000
1730563200000,8,0.0001,2024-11-02 16:00:00.000
1730592000000,8,0.0001,2024-11-03 00:00:00.000
1730620800000,8,0.0001,2024-11-03 08:00:00.000
1730649600000,8,0.0001,2024-11-03 16:00:00.000
1730678400000,8,0.0001,2024-11-04 00:00:00.000
1730707200000,8,0.0001,2024-11-04 08:00:00.000
1730736000000,8,0.0001,2024-11-04 16:00:00.000
1730764800000,8,0.0001,2024-11-05 00:00:00.000
1730793600003,8,0.0001,2024-11-05 08:00:00.003
1730822400001,8,0.0001,2024-11-05 16:00:00.001
1730851200000,8,9.511e-05,2024-11-06 00:00:00.000
