timestamp,timestamp_ms,oi,oi_usd,ls_ratio,long_pct,short_pct,top_ls_ratio,top_long_pct,top_short_pct,futures_taker_ratio,futures_buy_vol,futures_sell_vol
2026-05-08 16:45:00,1778258700000,2290341.088,5246553413.358866,2.5855,0.7211,0.2789,2.1289,0.6804,0.3196,0.7894,10111.322,12808.175
2026-05-08 17:00:00,1778259600000,2288818.174,5239036685.766675,2.5868,0.7212,0.2788,2.1279,0.6803,0.3197,0.9379,26175.452,27908.928
2026-05-08 17:15:00,1778260500000,2281759.401,5236819643.276972,2.5791,0.7206,0.2794,2.1182,0.6793,0.3207,1.4304,25981.183,18163.629
2026-05-08 17:30:00,1778261400000,2280607.217,5246719351.28586,2.5702,0.7199,0.2801,2.1017,0.6776,0.3224,1.1426,66853.798,58509.619
2026-05-08 17:45:00,1778262300000,2262855.061,5225188426.79945,2.5549,0.7187,0.2813,2.0694,0.6742,0.3258,0.5175,30034.355,58040.473
2026-05-08 18:00:00,1778263200000,2251331.441,5186392240.6317,2.5423,0.7177,0.2823,2.06,0.6732,0.3268,1.3243,36580.463,27621.795
2026-05-08 18:15:00,1778264100000,2250163.932,5201321433.73596,2.5273,0.7165,0.2835,2.0479,0.6719,0.3281,1.6556,60513.459,36551.873
2026-05-08 18:30:00,1778265000000,2257001.166,5230713052.2633,2.5149,0.7155,0.2845,2.0184,0.6687,0.3313,0.912,26946.216,29546.815
2026-05-08 18:45:00,1778265900000,2255415.726,5226974742.412807,2.4868,0.7132,0.2868,1.9958,0.6662,0.3338,0.5069,9007.08,17767.445
2026-05-08 19:00:00,1778266800000,2253463.883,5212913189.298113,2.4807,0.7127,0.2873,1.9895,0.6655,0.3345,1.0613,16668.504,15705.868
2026-05-08 19:15:00,1778267700000,2248812.171,5209476212.737414,2.4638,0.7113,0.2887,1.9744,0.6638,0.3362,0.7106,9361.492,13173.83
2026-05-08 19:30:00,1778268600000,2248765.695,5204993077.647,2.4578,0.7108,0.2892,1.9709,0.6634,0.3366,0.9577,14877.823,15534.347
2026-05-08 19:45:00,1778269500000,2248388.302,5205446112.90738,2.4542,0.7105,0.2895,1.9638,0.6626,0.3374,0.8297,10092.58,12164.249
2026-05-08 20:00:00,1778270400000,2247577.571,5203231979.96784,2.4364,0.709,0.291,1.9542,0.6615,0.3385,0.616,7167.091,11635.007
2026-05-08 20:15:00,1778271300000,2245405.723,5192366932.619061,2.4341,0.7088,0.2912,1.9533,0.6614,0.3386,0.6693,7882.167,11776.89
2026-05-08 20:30:00,1778272200000,2242019.858,5182316800.7741,2.427,0.7082,0.2918,1.9481,0.6608,0.3392,0.4135,8160.119,19736.618
2026-05-08 20:45:00,1778273100000,2239468.44,5167640609.3532,2.4223,0.7078,0.2922,1.9455,0.6605,0.3395,0.6058,9264.011,15292.555
2026-05-08 21:00:00,1778274000000,2234357.091,5152459061.94373,2.427,0.7082,0.2918,1.9481,0.6608,0.3392,1.1512,8813.963,7656.193
2026-05-08 21:15:00,1778274900000,2233298.52,5147663756.6592,2.427,0.7082,0.2918,1.9481,0.6608,0.3392,1.799,7516.519,4178.068
2026-05-08 21:30:00,1778275800000,2232257.341,5152228523.61528,2.427,0.7082,0.2918,1.9481,0.6608,0.3392,1.5415,8064.362,5231.496
2026-05-08 21:45:00,1778276700000,2232391.546,5163677913.30622,2.4364,0.709,0.291,1.9516,0.6612,0.3388,1.4969,12267.19,8195.184
2026-05-08 22:00:00,1778277600000,2237455.067,5176941528.700947,2.427,0.7082,0.2918,1.9455,0.6605,0.3395,2.1831,23045.106,10555.933
2026-05-08 22:15:00,1778278500000,2234022.258,5175810219.647773,2.4235,0.7079,0.2921,1.9429,0.6602,0.3398,0.8731,7214.6,8262.819
2026-05-08 22:30:00,1778279400000,2236039.087,5170415541.26097,2.4176,0.7074,0.2926,1.9377,0.6596,0.3404,0.593,4148.434,6995.386
2026-05-08 22:45:00,1778280300000,2235512.763,5167208910.65346,2.4141,0.7071,0.2929,1.9351,0.6593,0.3407,0.7594,4561.258,6006.477
2026-05-08 23:00:00,1778281200000,2235381.352,5164363838.132051,2.4048,0.7063,0.2937,1.9291,0.6586,0.3414,0.5149,4489.294,8719.193
2026-05-08 23:15:00,1778282100000,2234955.717,5154143126.75955,2.4014,0.706,0.294,1.9274,0.6584,0.3416,1.1552,6665.997,5770.585
2026-05-08 23:30:00,1778283000000,2236031.781,5159061966.39444,2.4014,0.706,0.294,1.9248,0.6581,0.3419,0.7796,8363.96,10728.615
2026-05-08 23:45:00,1778283900000,2238380.443,5156528976.207427,2.4014,0.706,0.294,1.9283,0.6585,0.3415,1.4695,8428.287,5735.413
2026-05-09 00:00:00,1778284800000,2238183.037,5161622116.076012,2.406,0.7064,0.2936,1.9317,0.6589,0.3411,1.0695,5731.547,5358.933
2026-05-09 00:15:00,1778285700000,2238369.358,5160647407.629155,2.4025,0.7061,0.2939,1.9308,0.6588,0.3412,1.2005,8775.734,7310.119
2026-05-09 00:30:00,1778286600000,2238432.897,5165430137.44617,2.4211,0.7077,0.2923,1.9446,0.6604,0.3396,1.2549,7644.475,6091.593
2026-05-09 00:45:00,1778287500000,2239172.445,5171301586.55415,2.4329,0.7087,0.2913,1.9533,0.6614,0.3386,0.7854,6095.539,7760.632
2026-05-09 01:00:00,1778288400000,2241089.668,5171774370.848198,2.4294,0.7084,0.2916,1.9551,0.6616,0.3384,1.9737,6817.011,3453.869
2026-05-09 01:15:00,1778289300000,2240687.838,5181814694.1588,2.4388,0.7092,0.2908,1.9621,0.6624,0.3376,1.1525,6120.504,5310.7
2026-05-09 01:30:00,1778290200000,2240217.719,5176222225.101234,2.4364,0.709,0.291,1.9586,0.662,0.338,1.7175,11646.003,6780.621
2026-05-09 01:45:00,1778291100000,2239448.422,5183755631.1133,2.4364,0.709,0.291,1.9542,0.6615,0.3385,1.1575,9814.444,8478.996
2026-05-09 02:00:00,1778292000000,2240851.219,5183693899.37613,2.4305,0.7085,0.2915,1.9516,0.6612,0.3388,1.2295,7311.817,5946.797
2026-05-09 02:15:00,1778292900000,2240604.014,5188894659.747511,2.4235,0.7079,0.2921,1.9455,0.6605,0.3395,0.6845,4057.564,5927.549
2026-05-09 02:30:00,1778293800000,2240722.422,5188311012.044757,2.4165,0.7073,0.2927,1.9403,0.6599,0.3401,1.8775,13802.762,7351.574
2026-05-09 02:45:00,1778294700000,2244357.964,5200469169.12332,2.406,0.7064,0.2936,1.9308,0.6588,0.3412,0.8177,3966.111,4850.531
2026-05-09 03:00:00,1778295600000,2243875.486,5196344411.72394,2.3933,0.7053,0.2947,1.9257,0.6582,0.3418,1.4871,8251.669,5548.666
2026-05-09 03:15:00,1778296500000,2243085.946,5198194124.802796,2.3898,0.705,0.295,1.949,0.6609,0.3391,0.8904,10217.761,11475.379
2026-05-09 03:30:00,1778297400000,2241692.996,5191788713.163499,2.3898,0.705,0.295,1.9481,0.6608,0.3392,1.3403,12828.147,9571.14
2026-05-09 03:45:00,1778298300000,2246879.668,5196428052.448562,2.3693,0.7032,0.2968,1.9326,0.659,0.341,1.1788,7913.565,6713.093
