Open time ms,Open,High,Low,Close,Volume,Open time
1777791600000,2304.5,2311.76,2304.42,2307.59,1412.0351,2026-05-03 07:00:00
1777792500000,2307.58,2312.86,2307.58,2311.19,994.6494,2026-05-03 07:15:00
1777793400000,2311.19,2314.01,2310.33,2310.34,803.6087,2026-05-03 07:30:00
1777794300000,2310.34,2311.36,2308.86,2309.28,589.8193,2026-05-03 07:45:00
1777795200000,2309.28,2312.67,2309.28,2310.99,404.2264,2026-05-03 08:00:00
1777796100000,2310.99,2311.41,2308.79,2308.8,378.3826,2026-05-03 08:15:00
1777797000000,2308.8,2310.29,2307.65,2310.17,667.2261,2026-05-03 08:30:00
1777797900000,2310.18,2310.85,2308.23,2308.28,420.5489,2026-05-03 08:45:00
1777798800000,2308.29,2309.07,2307.49,2308.5,335.6444,2026-05-03 09:00:00
1777799700000,2308.5,2313.46,2308.5,2312.36,1024.3043,2026-05-03 09:15:00
1777800600000,2312.36,2322.27,2311.02,2316.15,3025.4705,2026-05-03 09:30:00
1777801500000,2316.16,2317.4,2315.17,2316.47,1599.9739,2026-05-03 09:45:00
1777802400000,2316.48,2316.73,2311.84,2313.67,800.2048,2026-05-03 10:00:00
1777803300000,2313.67,2313.78,2311.32,2311.41,570.865,2026-05-03 10:15:00
1777804200000,2311.41,2315.36,2311.41,2314.56,608.8167,2026-05-03 10:30:00
1777805100000,2314.56,2314.57,2311.44,2311.54,393.4755,2026-05-03 10:45:00
1777806000000,2311.54,2316.34,2310.52,2314.52,1086.563,2026-05-03 11:00:00
1777806900000,2314.52,2314.95,2313.54,2313.56,412.9727,2026-05-03 11:15:00
1777807800000,2313.56,2324.18,2313.55,2321.61,2865.508,2026-05-03 11:30:00
1777808700000,2321.61,2327.5,2319.42,2319.63,2960.943,2026-05-03 11:45:00
1777809600000,2319.63,2332.61,2319.63,2329.46,4428.6931,2026-05-03 12:00:00
1777810500000,2329.46,2330.2,2325.08,2326.78,1993.9067,2026-05-03 12:15:00
1777811400000,2326.79,2327.39,2323.94,2325.53,1273.2003,2026-05-03 12:30:00
1777812300000,2325.52,2326.97,2323.39,2325.71,1391.2595,2026-05-03 12:45:00
1777813200000,2325.71,2328.74,2324.66,2327.36,983.3373,2026-05-03 13:00:00
1777814100000,2327.35,2327.7,2323.39,2325.0,936.9041,2026-05-03 13:15:00
1777815000000,2325.0,2327.3,2320.61,2322.51,960.228,2026-05-03 13:30:00
1777815900000,2322.51,2324.48,2321.69,2322.21,736.0604,2026-05-03 13:45:00
1777816800000,2322.22,2326.6,2322.22,2325.87,662.3542,2026-05-03 14:00:00
1777817700000,2325.87,2326.6,2321.19,2324.64,1495.082,2026-05-03 14:15:00
1777818600000,2324.64,2326.0,2323.58,2326.0,533.882,2026-05-03 14:30:00
1777819500000,2325.99,2329.6,2323.73,2328.28,1311.4041,2026-05-03 14:45:00
1777820400000,2328.28,2330.63,2328.28,2328.56,1035.4868,2026-05-03 15:00:00
1777821300000,2328.57,2332.55,2328.56,2331.38,1174.3978,2026-05-03 15:15:00
1777822200000,2331.38,2333.91,2326.89,2327.41,1180.4866,2026-05-03 15:30:00
1777823100000,2327.4,2329.13,2324.96,2328.44,1377.4102,2026-05-03 15:45:00
1777824000000,2328.45,2330.99,2325.0,2325.39,1437.8357,2026-05-03 16:00:00
1777824900000,2325.39,2328.19,2322.38,2328.03,1373.5364,2026-05-03 16:15:00
1777825800000,2328.04,2335.0,2328.03,2330.41,2396.7741,2026-05-03 16:30:00
1777826700000,2330.42,2330.98,2328.1,2328.41,572.8853,2026-05-03 16:45:00
1777827600000,2328.4,2329.37,2324.11,2328.53,1155.2898,2026-05-03 17:00:00
1777828500000,2328.53,2334.7,2328.52,2332.41,2344.9073,2026-05-03 17:15:00
1777829400000,2332.41,2335.35,2332.41,2333.51,1289.4575,2026-05-03 17:30:00
1777830300000,2333.52,2333.61,2330.45,2331.85,819.1057,2026-05-03 17:45:00
1777831200000,2331.85,2332.72,2329.11,2329.8,909.206,2026-05-03 18:00:00
1777832100000,2329.79,2333.6,2328.29,2332.43,574.7698,2026-05-03 18:15:00
1777833000000,2332.43,2332.5,2329.89,2331.21,331.0207,2026-05-03 18:30:00
1777833900000,2331.21,2333.0,2330.75,2330.98,448.694,2026-05-03 18:45:00
1777834800000,2330.98,2332.52,2330.0,2330.01,711.2726,2026-05-03 19:00:00
1777835700000,2330.01,2330.39,2328.47,2328.94,529.6893,2026-05-03 19:15:00
1777836600000,2328.95,2337.87,2328.94,2335.32,1616.8994,2026-05-03 19:30:00
1777837500000,2335.32,2336.1,2333.09,2335.59,2684.7899,2026-05-03 19:45:00
1777838400000,2335.6,2336.48,2333.44,2333.59,981.6547,2026-05-03 20:00:00
1777839300000,2333.59,2339.78,2332.04,2335.25,1736.1596,2026-05-03 20:15:00
1777840200000,2335.26,2344.35,2333.36,2336.3,7903.0985,2026-05-03 20:30:00
1777841100000,2336.31,2337.38,2328.28,2329.58,3822.6795,2026-05-03 20:45:00
1777842000000,2329.58,2334.18,2325.35,2332.89,2355.0941,2026-05-03 21:00:00
1777842900000,2332.88,2333.0,2330.04,2330.11,875.882,2026-05-03 21:15:00
1777843800000,2330.1,2332.15,2315.0,2320.09,2687.0747,2026-05-03 21:30:00
1777844700000,2320.1,2324.63,2316.19,2324.27,2236.9402,2026-05-03 21:45:00
1777845600000,2324.27,2351.94,2324.26,2347.9,12250.1016,2026-05-03 22:00:00
1777846500000,2347.9,2356.92,2335.0,2338.66,8176.4927,2026-05-03 22:15:00
1777847400000,2338.67,2347.04,2335.03,2346.39,1748.5672,2026-05-03 22:30:00
1777848300000,2346.39,2351.68,2341.88,2343.89,3171.6677,2026-05-03 22:45:00
1777849200000,2343.89,2347.47,2336.68,2338.74,2255.9505,2026-05-03 23:00:00
1777850100000,2338.75,2339.05,2321.63,2326.65,4101.7168,2026-05-03 23:15:00
1777851000000,2326.65,2329.0,2324.04,2324.33,4061.4501,2026-05-03 23:30:00
1777851900000,2324.32,2325.49,2319.96,2322.65,3794.1399,2026-05-03 23:45:00
1777852800000,2322.65,2322.65,2315.0,2317.9,4043.6135,2026-05-04 00:00:00
1777853700000,2317.89,2318.44,2309.24,2312.95,4990.23,2026-05-04 00:15:00
1777854600000,2312.94,2315.95,2310.14,2312.28,1751.8654,2026-05-04 00:30:00
1777855500000,2312.29,2320.44,2312.29,2319.0,1562.861,2026-05-04 00:45:00
1777856400000,2319.0,2321.6,2312.98,2316.95,1302.2797,2026-05-04 01:00:00
1777857300000,2316.95,2320.35,2313.25,2320.18,1530.9376,2026-05-04 01:15:00
1777858200000,2320.18,2340.17,2319.92,2327.21,7238.0391,2026-05-04 01:30:00
1777859100000,2327.21,2354.02,2326.81,2351.2,7610.6409,2026-05-04 01:45:00
1777860000000,2351.21,2362.35,2345.41,2360.33,12579.6425,2026-05-04 02:00:00
1777860900000,2360.34,2371.95,2356.34,2363.73,12007.1584,2026-05-04 02:15:00
1777861800000,2363.72,2383.66,2363.72,2380.64,16668.1274,2026-05-04 02:30:00
1777862700000,2380.65,2387.99,2374.09,2374.73,10933.9484,2026-05-04 02:45:00
1777863600000,2374.73,2387.11,2371.74,2385.25,15250.9522,2026-05-04 03:00:00
1777864500000,2385.26,2391.0,2378.94,2380.08,9564.2048,2026-05-04 03:15:00
1777865400000,2380.07,2385.35,2375.9,2378.9,4124.4412,2026-05-04 03:30:00
1777866300000,2378.9,2385.98,2377.56,2385.12,3169.0544,2026-05-04 03:45:00
1777867200000,2385.11,2388.48,2384.37,2385.98,4456.0776,2026-05-04 04:00:00
1777868100000,2385.98,2398.93,2384.65,2390.09,10116.7301,2026-05-04 04:15:00
1777869000000,2390.1,2393.9,2389.05,2392.19,3902.7696,2026-05-04 04:30:00
1777869900000,2392.19,2395.52,2389.44,2390.12,3107.3524,2026-05-04 04:45:00
1777870800000,2390.12,2391.28,2382.04,2384.36,3909.7717,2026-05-04 05:00:00
1777871700000,2384.35,2384.66,2376.27,2377.7,6667.4578,2026-05-04 05:15:00
1777872600000,2377.7,2381.64,2375.36,2380.33,3567.3896,2026-05-04 05:30:00
1777873500000,2380.33,2380.33,2375.26,2376.19,3270.47,2026-05-04 05:45:00
1777874400000,2376.19,2378.42,2371.4,2372.09,3745.2157,2026-05-04 06:00:00
1777875300000,2372.08,2372.09,2354.2,2362.06,8421.5216,2026-05-04 06:15:00
1777876200000,2362.07,2366.13,2360.03,2363.9,4520.9517,2026-05-04 06:30:00
1777877100000,2363.91,2372.7,2363.91,2368.41,3439.5029,2026-05-04 06:45:00
1777878000000,2368.41,2372.43,2367.05,2372.07,2229.8185,2026-05-04 07:00:00
1777878900000,2372.07,2373.87,2368.4,2369.45,2735.071,2026-05-04 07:15:00
1777879800000,2369.46,2369.6,2363.96,2368.04,2955.2351,2026-05-04 07:30:00
1777880700000,2368.03,2370.07,2362.51,2362.8,2375.1836,2026-05-04 07:45:00
1777881600000,2362.79,2365.11,2357.93,2363.83,2928.5923,2026-05-04 08:00:00
1777882500000,2363.82,2364.19,2358.46,2360.33,2803.8697,2026-05-04 08:15:00
1777883400000,2360.33,2362.86,2358.4,2360.67,1999.0819,2026-05-04 08:30:00
1777884300000,2360.66,2363.77,2357.3,2360.04,2127.0874,2026-05-04 08:45:00
1777885200000,2360.04,2362.69,2358.04,2361.04,1567.596,2026-05-04 09:00:00
1777886100000,2361.03,2365.37,2360.99,2362.85,3011.2702,2026-05-04 09:15:00
1777887000000,2362.84,2370.58,2362.01,2369.68,2285.0206,2026-05-04 09:30:00
1777887900000,2369.67,2371.09,2366.0,2368.71,1743.7482,2026-05-04 09:45:00
1777888800000,2368.72,2369.89,2323.12,2328.58,25853.0648,2026-05-04 10:00:00
1777889700000,2328.57,2329.08,2314.25,2324.18,14205.2574,2026-05-04 10:15:00
1777890600000,2324.18,2345.89,2321.67,2341.46,12893.8657,2026-05-04 10:30:00
1777891500000,2341.46,2344.0,2335.6,2338.36,4472.0884,2026-05-04 10:45:00
1777892400000,2338.35,2343.0,2337.07,2341.65,3420.8036,2026-05-04 11:00:00
1777893300000,2341.65,2343.62,2336.33,2337.05,2090.2688,2026-05-04 11:15:00
1777894200000,2337.05,2339.05,2332.91,2334.14,2773.7119,2026-05-04 11:30:00
1777895100000,2334.14,2339.16,2333.97,2337.59,1555.7052,2026-05-04 11:45:00
1777896000000,2337.59,2338.76,2333.04,2337.67,2410.6127,2026-05-04 12:00:00
1777896900000,2337.67,2343.78,2335.43,2340.84,2382.2276,2026-05-04 12:15:00
1777897800000,2340.83,2341.69,2337.0,2341.38,1438.4241,2026-05-04 12:30:00
1777898700000,2341.37,2342.27,2335.53,2335.53,1501.9175,2026-05-04 12:45:00
1777899600000,2335.53,2341.0,2325.71,2337.23,8295.0591,2026-05-04 13:00:00
1777900500000,2337.22,2340.71,2336.33,2338.8,1984.2365,2026-05-04 13:15:00
1777901400000,2338.8,2344.53,2335.92,2336.6,4483.9097,2026-05-04 13:30:00
1777902300000,2336.6,2342.67,2333.84,2336.53,2984.7688,2026-05-04 13:45:00
1777903200000,2336.53,2341.96,2327.47,2340.64,5802.4591,2026-05-04 14:00:00
1777904100000,2340.63,2352.72,2340.01,2345.76,6962.0294,2026-05-04 14:15:00
1777905000000,2345.76,2358.68,2345.16,2352.77,6698.0905,2026-05-04 14:30:00
1777905900000,2352.77,2381.8,2352.77,2371.39,17094.6495,2026-05-04 14:45:00
1777906800000,2371.4,2374.38,2361.44,2366.51,13316.543,2026-05-04 15:00:00
1777907700000,2366.51,2370.36,2339.21,2348.45,15279.0089,2026-05-04 15:15:00
1777908600000,2348.45,2354.1,2342.17,2353.69,4658.7838,2026-05-04 15:30:00
1777909500000,2353.68,2353.68,2336.01,2350.1,7922.4729,2026-05-04 15:45:00
1777910400000,2350.11,2352.14,2336.63,2340.6,5952.0231,2026-05-04 16:00:00
1777911300000,2340.59,2365.0,2337.04,2357.83,10633.7107,2026-05-04 16:15:00
1777912200000,2357.85,2362.7,2355.05,2359.32,3804.0727,2026-05-04 16:30:00
1777913100000,2359.32,2360.1,2351.76,2355.28,2801.843,2026-05-04 16:45:00
1777914000000,2355.27,2365.0,2353.84,2363.7,7591.7803,2026-05-04 17:00:00
1777914900000,2363.7,2370.22,2360.89,2367.07,3684.4424,2026-05-04 17:15:00
1777915800000,2367.07,2370.0,2364.13,2367.32,2360.1523,2026-05-04 17:30:00
1777916700000,2367.32,2379.52,2366.74,2370.09,5217.4494,2026-05-04 17:45:00
1777917600000,2370.1,2374.86,2366.98,2372.07,3719.5439,2026-05-04 18:00:00
1777918500000,2372.06,2372.06,2359.26,2363.76,5267.8173,2026-05-04 18:15:00
1777919400000,2363.77,2366.29,2362.34,2362.69,1195.1046,2026-05-04 18:30:00
1777920300000,2362.69,2362.7,2357.02,2361.41,2214.9124,2026-05-04 18:45:00
1777921200000,2361.42,2364.35,2355.54,2362.46,2137.7766,2026-05-04 19:00:00
1777922100000,2362.46,2362.46,2355.42,2357.02,1427.8871,2026-05-04 19:15:00
1777923000000,2357.03,2358.64,2353.52,2355.74,1569.7659,2026-05-04 19:30:00
1777923900000,2355.75,2358.23,2354.34,2356.52,2723.1625,2026-05-04 19:45:00
1777924800000,2356.52,2357.3,2353.59,2356.67,1169.6797,2026-05-04 20:00:00
1777925700000,2356.68,2359.12,2349.8,2352.5,2017.4106,2026-05-04 20:15:00
1777926600000,2352.49,2352.81,2347.77,2349.24,1051.3883,2026-05-04 20:30:00
1777927500000,2349.24,2352.01,2349.11,2350.15,866.6988,2026-05-04 20:45:00
1777928400000,2350.14,2357.42,2350.14,2357.41,894.6277,2026-05-04 21:00:00
1777929300000,2357.42,2361.66,2355.77,2359.16,1071.8417,2026-05-04 21:15:00
1777930200000,2359.16,2362.55,2359.11,2361.03,801.8977,2026-05-04 21:30:00
1777931100000,2361.03,2364.59,2360.88,2360.89,1076.2674,2026-05-04 21:45:00
1777932000000,2360.89,2365.91,2360.4,2363.98,1522.8468,2026-05-04 22:00:00
1777932900000,2363.99,2365.56,2359.24,2359.89,1037.0051,2026-05-04 22:15:00
1777933800000,2359.88,2360.0,2355.0,2355.04,1181.3014,2026-05-04 22:30:00
1777934700000,2355.04,2359.75,2353.95,2354.58,1431.3884,2026-05-04 22:45:00
1777935600000,2354.58,2354.58,2348.69,2350.68,1283.9369,2026-05-04 23:00:00
1777936500000,2350.68,2353.33,2348.65,2353.04,779.7193,2026-05-04 23:15:00
1777937400000,2353.04,2353.04,2345.0,2345.15,1172.474,2026-05-04 23:30:00
1777938300000,2345.14,2347.95,2344.83,2347.16,666.1299,2026-05-04 23:45:00
1777939200000,2347.17,2352.04,2344.93,2351.28,1203.9704,2026-05-05 00:00:00
1777940100000,2351.27,2351.27,2348.14,2348.21,703.2016,2026-05-05 00:15:00
1777941000000,2348.22,2356.44,2348.21,2355.0,1390.9462,2026-05-05 00:30:00
1777941900000,2355.01,2359.0,2354.58,2358.83,1517.714,2026-05-05 00:45:00
1777942800000,2358.83,2361.0,2355.1,2359.71,1179.7986,2026-05-05 01:00:00
1777943700000,2359.7,2362.0,2359.14,2361.07,874.6057,2026-05-05 01:15:00
1777944600000,2361.07,2363.81,2356.65,2361.98,1427.9628,2026-05-05 01:30:00
1777945500000,2361.99,2364.49,2360.97,2361.82,1228.9594,2026-05-05 01:45:00
1777946400000,2361.81,2373.33,2359.1,2369.21,3634.1528,2026-05-05 02:00:00
1777947300000,2369.21,2372.84,2365.93,2367.2,1711.1858,2026-05-05 02:15:00
1777948200000,2367.2,2376.03,2367.07,2374.26,2367.7502,2026-05-05 02:30:00
1777949100000,2374.26,2377.8,2363.59,2367.72,2735.1243,2026-05-05 02:45:00
1777950000000,2367.72,2374.4,2364.71,2372.84,1139.2908,2026-05-05 03:00:00
1777950900000,2372.83,2377.68,2370.8,2377.0,3722.0132,2026-05-05 03:15:00
1777951800000,2376.99,2389.38,2375.9,2385.59,14545.4018,2026-05-05 03:30:00
1777952700000,2385.58,2386.69,2380.68,2382.43,3987.5761,2026-05-05 03:45:00
1777953600000,2382.43,2386.0,2378.51,2380.08,3594.8444,2026-05-05 04:00:00
1777954500000,2380.08,2384.5,2379.23,2379.89,1657.7796,2026-05-05 04:15:00
1777955400000,2379.89,2382.28,2378.4,2379.18,1789.7819,2026-05-05 04:30:00
1777956300000,2379.18,2384.34,2376.04,2381.11,2385.2034,2026-05-05 04:45:00
1777957200000,2381.1,2381.71,2377.34,2379.44,2166.4253,2026-05-05 05:00:00
1777958100000,2379.44,2387.12,2378.06,2384.99,2915.5269,2026-05-05 05:15:00
1777959000000,2385.0,2390.74,2382.14,2382.27,4518.9148,2026-05-05 05:30:00
1777959900000,2382.28,2382.42,2376.88,2380.19,4009.9446,2026-05-05 05:45:00
1777960800000,2380.19,2381.51,2376.52,2377.9,3081.033,2026-05-05 06:00:00
1777961700000,2377.91,2378.17,2367.35,2371.2,4631.2527,2026-05-05 06:15:00
