entry_time,exit_time,direction,exit_reason,pnl_pct,size_pct,bars_held,result,ics,gatekeeper_passed,veto_soft_penalty,m1_dir,m1_score,m2_status,m2_score,m3_score,m4_status,m4_score,m5_status,m5_score,m7_score,m7_composite,eth_btc_trend,btc_trend,btc_atr_pctl,m8_status,m8_score,m9_status,m9_score,vol_regime,m10_status,m10_score,m11_status,m11_score,m12_status,m12_score,trend_dir,trend_val,cross_asset_score,session,phase0
2025-01-09 17:30:00,2025-01-09 20:45:00,SHORT,SL,2.6054,5.0,13,WIN,0.5492,True,0.0,NEUTRAL,0.5125,PASS,0.7083,0.575,PASS,0.0043,PASS,0.3561,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.506,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.4892,0.5,US,0.33362422787675106
2025-01-10 13:30:00,2025-01-10 14:15:00,SHORT,SL,-0.8,5.0,3,LOSS,0.5731,True,0.1,NEUTRAL,0.575,PASS,0.7083,0.9355,PASS,0.0087,PASS,0.6569,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.5435,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.5521,0.5,EU,0.28619226072219284
2025-01-10 15:00:00,2025-01-10 15:15:00,SHORT,SL,-0.8,5.0,1,LOSS,0.5245,True,0.1,NEUTRAL,0.5125,PASS,0.7083,0.7143,PASS,0.0087,PASS,0.6144,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.5435,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.5521,0.5,US_OPEN,0.28619226072219284
2025-01-11 08:00:00,2025-01-11 08:45:00,SHORT,TP1,0.4106,5.0,3,WIN,0.5996,True,0.1,BEARISH,0.6175,PASS,0.7083,0.7268,PASS,0.0086,PASS,0.4909,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.5435,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.5513,0.5,EU,0.15885923702489665
2025-01-11 08:45:00,2025-01-11 10:00:00,SHORT,SL,-0.68,5.0,5,LOSS,0.571,True,0.1,BEARISH,0.6375,PASS,0.7083,0.6033,PASS,0.0087,PASS,0.487,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.5435,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.5513,0.5,EU,0.15885923702489665
2025-01-11 12:45:00,2025-01-11 20:15:00,SHORT,EARLY_EXIT,-0.5445,5.0,30,LOSS,0.5161,True,0.06,BULLISH,0.6375,PASS,0.7083,0.6063,PASS,0.0044,PASS,0.5886,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.5435,FAIL,0.3,SKIP,0.5,STRONG_DOWN,-0.5513,0.5,EU,0.15885923702489665
2025-01-11 17:00:00,2025-01-11 20:15:00,SHORT,SL,-0.68,5.0,13,LOSS,0.5557,True,0.1,NEUTRAL,0.55,PASS,0.7083,0.8784,PASS,0.0044,PASS,0.5758,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.5435,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.5513,0.5,US,0.15885923702489665
2025-01-12 12:30:00,2025-01-12 14:15:00,SHORT,SL,-0.68,5.0,7,LOSS,0.5566,True,0.1,NEUTRAL,0.55,PASS,0.7083,0.6238,PASS,0.552,PASS,0.7462,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.5435,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.4651,0.5,EU,0.17503714966436268
2025-01-16 06:15:00,2025-01-16 08:45:00,LONG,SL,-1.8,5.0,10,LOSS,0.519,True,0.0,BEARISH,0.68,PASS,0.8333,0.5523,PASS,0.1647,PASS,0.6487,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.5985,SKIP,0.5,SKIP,0.5,NEUTRAL,-0.0437,0.5,ASIAN,0.21997909443539
2025-01-17 08:30:00,2025-01-17 08:45:00,LONG,TP1,0.5436,5.0,1,WIN,0.6141,True,0.1,NEUTRAL,0.5125,PASS,1.0,0.7107,PASS,0.1301,PASS,0.3667,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.5985,SKIP,0.5,SKIP,0.5,UP,0.2739,0.5,EU,0.21486510851993026
