entry_time,exit_time,direction,entry_price,exit_price,sl,tp1,tp2,tp3,pnl_pct,size_pct,bars_held,ics,m1_dir,m2_status,m4_status,m5_status,m5_score,phase0,exit_reason,reason
2025-01-28 14:45:00,2025-01-28 15:15:00,SHORT,3172.31,3197.68848,3197.68848,3156.3581490669535,3119.1371635565115,3079.257536223895,-0.7999999999999954,5.0,2,0.5365649709627676,NEUTRAL,PASS,PASS,PASS,0.4476502142131724,0.21910547920295534,SL,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.537
2025-01-29 04:00:00,2025-01-29 08:00:00,SHORT,3130.68,3156.26,3187.03224,3082.5097637552344,3066.4530183403126,3018.282782095547,-0.8170748846896005,5.0,16,0.539139063360457,NEUTRAL,PASS,PASS,PASS,0.6338838616728898,0.21146378476419087,EARLY_EXIT,M9=NEUTRAL M13=BEARISH M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.539
2025-01-29 04:45:00,2025-01-29 08:45:00,SHORT,3124.33,3147.51,3180.56794,3076.1597637552345,3060.1030183403127,3011.9327820955473,-0.7419190674480702,5.0,16,0.5264869511047526,NEUTRAL,PASS,PASS,PASS,0.6183296072521497,0.21146378476419087,EARLY_EXIT,M9=NEUTRAL M13=BEARISH M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.526
2025-01-31 00:00:00,2025-01-31 04:00:00,LONG,3240.36,3228.45,3182.03352,3301.5231000000003,3334.1623,3343.4624066025144,-0.3675517535088789,5.0,16,0.6076588069838713,NEUTRAL,PASS,PASS,PASS,0.4664252833009941,0.1593409695449059,EARLY_EXIT,M9=NEUTRAL M13=BULLISH M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.608
2025-01-31 00:30:00,2025-01-31 04:30:00,LONG,3260.9,3225.63,3211.370470967742,3301.5231000000003,3319.8156609157227,3364.0024066025144,-1.0816032383697747,5.0,16,0.5616640355698259,NEUTRAL,PASS,PASS,PASS,0.5266872794079633,0.1593409695449059,EARLY_EXIT,M9=NEUTRAL M13=BULLISH M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.562
2025-02-01 21:45:00,2025-02-02 00:30:00,SHORT,3149.8,3149.8,3149.8,3141.027,3079.9206326659496,3027.5111071654114,0.10583973585624651,5.0,11,0.5275503456401973,BEARISH,FAIL,PASS,PASS,0.7832101307606746,0.17169038368161257,SL,M9=NEUTRAL M13=BEARISH M1=BEARISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.528
2025-02-01 23:15:00,2025-02-02 00:30:00,SHORT,3117.41,3149.0929772727277,3149.0929772727277,3064.0394230684847,3046.2492307579796,2992.8786538264644,-1.0163237197778876,5.0,5,0.5551576250839553,BEARISH,FAIL,PASS,PASS,0.7819271986496303,0.17169038368161257,SL,M9=NEUTRAL M13=BEARISH M1=BEARISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.555
2025-02-07 15:15:00,2025-02-07 15:45:00,SHORT,2740.98,2715.545,2740.98,2715.545,2663.861659535688,2606.022904187454,0.9279527760144162,5.0,2,0.5741362102541456,NEUTRAL,PASS,PASS,PASS,0.27719179767469915,0.3561462358737747,TP1,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.574
2025-02-08 01:00:00,2025-02-08 07:45:00,SHORT,2637.46,2637.46,2637.46,2595.4709000000003,2560.3297896810896,2502.4821319419066,0.47760838079060663,5.0,27,0.535262482819256,NEUTRAL,PASS,PASS,PASS,0.7584817401011387,0.2976861318640501,SL,M9=NEUTRAL M13=BEARISH M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.535
2025-02-09 17:15:00,2025-02-09 19:45:00,SHORT,2650.75,2620.0045,2650.75,2620.0045,2603.8077332210237,2568.601033136791,1.159879279449212,5.0,10,0.5504505946114389,NEUTRAL,PASS,PASS,PASS,0.5017389833955375,0.3050906139949083,TP1,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.550
