Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2026-02-14 20:15:00,2085.24,2087.4,2081.24,2085.21,1614.9319,2026-02-14 20:29:59.999,3366889.290514,15275,789.4572,1646053.783505
2026-02-14 20:30:00,2085.21,2088.57,2084.0,2087.84,761.468,2026-02-14 20:44:59.999,1588155.816931,13512,335.2056,699302.860597
2026-02-14 20:45:00,2087.85,2090.05,2087.39,2089.82,708.0326,2026-02-14 20:59:59.999,1478941.043421,15354,437.7484,914417.007005
2026-02-14 21:00:00,2089.83,2098.89,2089.44,2095.21,3148.6796,2026-02-14 21:14:59.999,6595148.932318,28793,1728.5271,3620390.749655
2026-02-14 21:15:00,2095.21,2097.01,2084.49,2084.74,4034.7652,2026-02-14 21:29:59.999,8429285.013005,30220,1335.4347,2790887.087483
2026-02-14 21:30:00,2084.74,2085.1,2078.63,2084.04,2545.6581,2026-02-14 21:44:59.999,5300817.901626,45874,1088.0769,2265978.889026
2026-02-14 21:45:00,2084.03,2086.52,2082.08,2085.87,895.264,2026-02-14 21:59:59.999,1866312.004966,19062,407.1577,848781.123786
2026-02-14 22:00:00,2085.86,2093.0,2085.53,2092.82,1412.4308,2026-02-14 22:14:59.999,2951128.040702,13635,888.5389,1856580.323589
2026-02-14 22:15:00,2092.81,2092.82,2083.66,2089.14,1339.7759,2026-02-14 22:29:59.999,2796960.792202,16228,581.0468,1213016.824027
2026-02-14 22:30:00,2089.13,2094.46,2088.18,2093.5,1302.8666,2026-02-14 22:44:59.999,2725479.267254,21840,812.9774,1700773.166805
2026-02-14 22:45:00,2093.49,2094.68,2089.46,2090.47,1159.6473,2026-02-14 22:59:59.999,2425487.725024,32709,439.851,920118.8474
2026-02-14 23:00:00,2090.46,2092.73,2088.47,2090.88,957.0324,2026-02-14 23:14:59.999,2000631.413037,19247,408.425,853670.167807
2026-02-14 23:15:00,2090.87,2093.01,2083.7,2088.6,2526.2025,2026-02-14 23:29:59.999,5275486.19952,29327,1211.1819,2530113.849193
2026-02-14 23:30:00,2088.59,2090.42,2085.12,2087.66,894.1631,2026-02-14 23:44:59.999,1867110.071875,15016,524.379,1095060.531381
2026-02-14 23:45:00,2087.66,2089.13,2085.69,2086.59,1212.6571,2026-02-14 23:59:59.999,2531543.861441,11625,293.2425,612201.438206
2026-02-15 00:00:00,2086.59,2090.5,2081.4,2083.4,2253.1312,2026-02-15 00:14:59.999,4700121.799949,30591,1337.0801,2789608.486439
2026-02-15 00:15:00,2083.41,2088.2,2081.87,2081.88,984.9139,2026-02-15 00:29:59.999,2053053.600083,23803,571.6768,1191771.617121
2026-02-15 00:30:00,2081.87,2084.17,2075.45,2076.16,2738.3631,2026-02-15 00:44:59.999,5691136.06917,38422,797.7792,1657650.880949
2026-02-15 00:45:00,2076.15,2081.62,2072.74,2080.11,2358.6401,2026-02-15 00:59:59.999,4898996.275473,18519,865.3006,1797729.319461
2026-02-15 01:00:00,2080.11,2085.02,2079.02,2083.61,1440.9536,2026-02-15 01:14:59.999,3001505.769992,17516,618.4629,1288331.761101
2026-02-15 01:15:00,2083.61,2083.61,2058.03,2062.78,6139.9544,2026-02-15 01:29:59.999,12702128.768902,75395,1785.184,3691999.575205
2026-02-15 01:30:00,2062.78,2066.91,2053.81,2056.5,5645.055,2026-02-15 01:44:59.999,11632374.429577,70722,2117.8314,4365327.358915
2026-02-15 01:45:00,2056.51,2065.32,2055.68,2064.19,2032.9713,2026-02-15 01:59:59.999,4188589.58602,27181,1212.8425,2498794.664536
